expense_id,merchant_id,expense_date,category,subcategory,amount,payment_mode,vendor_name,approval_status
EXP000001,M001,2024-11-18,shipping,last_mile,10638.04,bank_transfer,Bangalore Packaging Co,pending
EXP000002,M001,2024-09-26,shipping,reverse_logistics,10404.85,UPI,Xpressbees,approved
EXP000003,M001,2024-05-15,shipping,air_freight,15345.07,bank_transfer,Ecom Express,approved
EXP000004,M001,2024-01-14,software,licenses,2743.16,bank_transfer,Xpressbees,pending
EXP000005,M001,2024-09-22,shipping,last_mile,8708.08,bank_transfer,BlueDart,approved
EXP000006,M001,2024-10-10,salaries,incentives,37118.76,UPI,Xpressbees,approved
EXP000007,M001,2024-12-17,shipping,last_mile,8989.31,card,Ecom Express,approved
EXP000008,M001,2024-02-18,marketing,influencer,7762.42,card,AdGrowth Marketing,approved
EXP000009,M001,2024-02-16,packaging,boxes,1924.94,cash,AdGrowth Marketing,approved
EXP000010,M001,2024-05-02,salaries,overtime,32160.24,bank_transfer,Ecom Express,pending
EXP000011,M001,2024-05-04,marketing,SEO,7233.07,card,Cashfree Fees,approved
EXP000012,M001,2024-01-19,salaries,contract,20830.11,card,AdGrowth Marketing,approved
EXP000013,M001,2024-05-08,marketing,influencer,1787.68,UPI,Cashfree Fees,approved
EXP000014,M001,2024-06-01,salaries,full_time,34159.59,bank_transfer,AdGrowth Marketing,approved
EXP000015,M001,2024-01-28,shipping,surface,9161.45,cash,Urban Warehouse Services,approved
EXP000016,M001,2024-01-11,marketing,influencer,22869.68,bank_transfer,BlueDart,approved
EXP000017,M001,2024-02-16,marketing,influencer,3949.6,bank_transfer,Urban Warehouse Services,approved
EXP000018,M001,2024-11-18,marketing,influencer,7339.39,bank_transfer,Cashfree Fees,approved
EXP000019,M001,2024-05-14,marketing,digital_ads,12953.25,bank_transfer,Xpressbees,approved
EXP000020,M001,2024-10-23,cloud,GCP,1940.09,card,Razorpay Fees,approved
EXP000021,M001,2024-01-25,salaries,contract,33301.96,bank_transfer,Delhivery,approved
EXP000022,M001,2024-02-18,salaries,full_time,38935.71,bank_transfer,Urban Warehouse Services,approved
EXP000023,M001,2024-10-22,marketing,email_campaigns,25625.87,bank_transfer,BlueDart,approved
EXP000024,M001,2024-12-25,shipping,surface,4713.48,bank_transfer,Delhivery,pending
