merchant_id,invoice_id,order_id,vendor_name,invoice_number,invoice_date,billing_period_start,billing_period_end,subtotal,tax_amount,total_amount,currency,invoice_status
M001,INV000001,ORD002865,Bangalore Packaging Co,VINV-000001,2024-05-03,2024-04-24,2024-05-03,4392.36,790.63,5182.99,INR,pending
M001,INV000002,ORD008517,Delhivery,VINV-000002,2024-12-13,2024-12-11,2024-12-13,3213.72,578.47,3792.19,INR,approved
M001,INV000003,ORD009132,AdGrowth Marketing,VINV-000003,2024-12-07,2024-11-22,2024-12-07,3817.97,687.24,4505.21,INR,approved
M001,INV000004,ORD009964,AdGrowth Marketing,VINV-000004,2025-01-18,2024-12-25,2025-01-18,4077.17,733.89,4811.06,INR,approved
M001,INV000005,ORD001573,Shiprocket,VINV-000005,2024-03-13,2024-03-12,2024-03-13,2436.88,438.64,2875.52,INR,approved
M001,INV000006,ORD005161,Cashfree Fees,VINV-000006,2024-07-29,2024-07-23,2024-07-29,6874.12,1237.34,8111.46,INR,approved
M001,INV000007,ORD007067,Delhivery,VINV-000007,2024-10-07,2024-09-14,2024-10-07,6037.13,1086.68,7123.81,INR,disputed
M001,INV000008,ORD008909,Bangalore Packaging Co,VINV-000008,2024-12-13,2024-11-21,2024-12-13,2679.72,482.35,3162.07,INR,approved
M001,INV000009,ORD000777,Delhivery,VINV-000009,2024-02-02,2024-01-03,2024-02-02,5083.58,915.05,5998.63,INR,approved
M001,INV000010,ORD000951,AdGrowth Marketing,VINV-000010,2024-02-20,2024-02-19,2024-02-20,1006.92,181.24,1188.16,INR,approved
M001,INV000011,VORD000066,Xpressbees,VINV-001388,2024-08-28,2024-08-25,2024-08-28,24530.57,4415.5,28946.07,INR,disputed
M001,INV000012,ORD003821,Ecom Express,VINV-000012,2024-05-31,2024-05-28,2024-05-31,4076.2,733.72,4809.92,INR,approved
M001,INV000013,ORD000974,Ecom Express,VINV-000013,2024-02-26,2024-02-18,2024-02-26,1866.58,335.99,2202.57,INR,approved
M001,INV000014,ORD004796,BlueDart,VINV-000014,2024-07-08,2024-06-19,2024-07-08,3301.31,594.23,3895.54,INR,rejected
M001,INV000015,VORD000021,Urban Warehouse Services,VINV-000015,2024-10-31,2024-10-19,2024-10-31,16762.03,3017.16,19779.19,INR,approved
M001,INV000016,ORD009841,AdGrowth Marketing,VINV-000016,2025-01-02,2024-12-20,2025-01-02,2577.54,463.96,3041.5,INR,approved
M001,INV000017,ORD000330,BlueDart,VINV-000017,2024-02-03,2024-01-12,2024-02-03,1020.38,183.67,1204.05,INR,approved
M001,INV000018,ORD006412,Ecom Express,VINV-000018,2024-10-07,2024-09-22,2024-10-07,2795.86,503.25,3299.11,INR,approved
M001,INV000019,ORD002196,Xpressbees,VINV-000019,2024-04-08,2024-04-04,2024-04-08,4785.53,861.39,5646.92,INR,pending
M001,INV000020,ORD009273,Razorpay Fees,VINV-000020,2024-12-13,2024-11-18,2024-12-13,5185.14,933.32,6118.46,INR,approved
M001,INV000021,ORD008449,Xpressbees,VINV-000021,2024-12-01,2024-11-30,2024-12-01,4134.04,744.13,4878.17,INR,disputed
M001,INV000022,ORD000659,Delhivery,VINV-000022,2024-02-03,2024-01-22,2024-02-03,8395.03,1511.11,9906.14,INR,approved
M001,INV000023,ORD009276,AdGrowth Marketing,VINV-000023,2024-12-09,2024-11-25,2024-12-09,6652.67,1197.48,7850.15,INR,approved
M001,INV000024,ORD001152,Shiprocket,VINV-000024,2024-02-15,2024-01-24,2024-02-15,6157.41,1108.33,7265.74,INR,pending
M001,INV000025,ORD001749,Urban Warehouse Services,VINV-000025,2024-03-07,2024-02-10,2024-03-07,5272.47,949.04,6221.51,INR,approved
M001,INV000026,ORD008138,Ecom Express,VINV-000026,2024-12-02,2024-11-19,2024-12-02,4585.4,825.37,5410.77,INR,pending
M001,INV000027,ORD009563,AdGrowth Marketing,VINV-000027,2025-01-11,2024-12-20,2025-01-11,9264.97,1667.69,10932.66,INR,approved
M001,INV000028,ORD001539,Cashfree Fees,VINV-000028,2024-03-16,2024-03-15,2024-03-16,2386.8,429.62,2816.42,INR,approved
M001,INV000029,ORD001653,Razorpay Fees,VINV-000029,2024-03-20,2024-02-21,2024-03-20,3787.92,681.82,4469.74,INR,approved
M001,INV000030,VORD000060,Ecom Express,VINV-000030,2024-01-01,2023-12-18,2024-01-01,30184.0,5433.12,35617.12,INR,approved
M001,INV000031,ORD003016,Shiprocket,VINV-000031,2024-05-16,2024-04-22,2024-05-16,3375.88,607.66,3983.54,INR,approved
