merchant_id,order_id,customer_id,order_date,sku,category,quantity,gross_amount,discount_amount,tax_amount,net_amount,payment_method,order_status,city,state,shipment_days,delivery_status
M001,ORD000001,CUST003374,2024-01-01,SKU-ACC-4170,accessories,2,8717.43,1489.98,361.37,7588.82,COD,delivered,Bangalore,Karnataka,9,delivered
M001,ORD000002,CUST000893,2024-01-01,SKU-HOM-1670,home,4,1580.69,338.87,223.53,1465.35,COD,delivered,Bangalore,Karnataka,2,delivered
M001,ORD000003,CUST005003,2024-01-01,SKU-LIF-3822,lifestyle,4,4217.34,1238.83,536.13,3514.64,NetBanking,delivered,Bangalore,Karnataka,10,delivered
M001,ORD000004,CUST005424,2024-01-01,SKU-HOM-4201,home,3,6991.55,446.43,327.26,6872.38,Debit Card,returned,Bangalore,Karnataka,10,returned
M001,ORD000005,CUST000070,2024-01-01,SKU-HOM-4282,home,3,5512.62,802.44,847.83,5558.01,NetBanking,confirmed,Bangalore,Karnataka,4,delivered
M001,ORD000006,CUST006296,2024-01-01,SKU-BEA-2390,beauty,3,2689.9,447.52,403.63,2646.01,COD,delivered,Bangalore,Karnataka,6,delivered
M001,ORD000007,CUST005337,2024-01-01,SKU-ACC-7691,accessories,3,2749.33,189.12,460.84,3021.05,COD,cancelled,Bangalore,Karnataka,8,cancelled
M001,ORD000008,CUST003448,2024-01-01,SKU-HOM-8513,home,3,5425.92,1372.68,729.58,4782.82,COD,delivered,Bangalore,Karnataka,7,delivered
M001,ORD000009,CUST003352,2024-01-01,SKU-FAS-1343,fashion,1,5190.32,232.96,247.87,5205.23,UPI,delivered,Bangalore,Karnataka,9,delivered
M001,ORD000010,CUST004899,2024-01-01,SKU-LIF-2178,lifestyle,2,7983.36,1786.71,309.83,6506.48,UPI,delivered,Bangalore,Karnataka,2,delivered
M001,ORD000011,CUST001155,2024-01-01,SKU-FAS-2027,fashion,2,9231.95,1887.94,881.28,8225.29,Credit Card,processing,Bangalore,Karnataka,5,delivered
M001,ORD000012,CUST004057,2024-01-01,SKU-HOM-8770,home,2,6482.17,1540.53,889.5,5831.14,Debit Card,cancelled,Bangalore,Karnataka,9,cancelled
M001,ORD000013,CUST004996,2024-01-01,SKU-BEA-2258,beauty,4,4242.71,252.91,478.78,4468.58,Credit Card,delivered,Bangalore,Karnataka,5,delivered
M001,ORD000014,CUST001836,2024-01-01,SKU-FAS-2055,fashion,4,8855.87,1133.64,1390.0,9112.23,COD,cancelled,Bangalore,Karnataka,10,cancelled
M001,ORD000015,CUST005088,2024-01-01,SKU-ACC-8671,accessories,1,3706.41,790.41,145.8,3061.8,COD,confirmed,Bangalore,Karnataka,5,delivered
M001,ORD000016,CUST002364,2024-01-01,SKU-FAS-3299,fashion,1,9031.34,644.37,419.35,8806.32,UPI,confirmed,Bangalore,Karnataka,2,delivered
M001,ORD000017,CUST005617,2024-01-01,SKU-BEA-4993,beauty,1,1470.82,5.65,175.82,1640.99,Wallet,delivered,Bangalore,Karnataka,9,delivered
M001,ORD000018,CUST000881,2024-01-01,SKU-FOO-2015,footwear,4,4063.98,1043.49,543.69,3564.18,UPI,processing,Bangalore,Karnataka,10,delivered
M001,ORD000019,CUST003184,2024-01-01,SKU-FAS-2165,fashion,3,5882.71,1015.47,243.36,5110.6,Credit Card,confirmed,Bangalore,Karnataka,3,delayed
M001,ORD000020,CUST002556,2024-01-01,SKU-FOO-5771,footwear,3,8494.72,2374.63,734.41,6854.5,Credit Card,confirmed,Bangalore,Karnataka,8,delayed
M001,ORD000021,CUST005669,2024-01-01,SKU-BEA-8831,beauty,3,5320.9,1229.42,736.47,4827.95,Credit Card,delivered,Bangalore,Karnataka,10,delayed
M001,ORD000022,CUST004120,2024-01-01,SKU-LIF-3552,lifestyle,1,9399.54,1467.18,951.88,8884.24,Credit Card,delivered,Bangalore,Karnataka,9,delivered
M001,ORD000023,CUST005909,2024-01-01,SKU-FAS-7163,fashion,1,3126.89,937.53,394.08,2583.44,COD,delivered,Bangalore,Karnataka,6,delivered
M001,ORD000024,CUST004491,2024-01-01,SKU-LIF-5338,lifestyle,1,8594.42,2122.91,776.58,7248.09,COD,delivered,Bangalore,Karnataka,8,delivered
M001,ORD000025,CUST004032,2024-01-01,SKU-BEA-2680,beauty,2,5089.91,424.35,839.8,5505.36,UPI,confirmed,Bangalore,Karnataka,8,delayed
M001,ORD000026,CUST004379,2024-01-01,SKU-LIF-8598,lifestyle,1,3995.03,457.93,636.68,4173.78,COD,delivered,Bangalore,Karnataka,8,delivered
M001,ORD000027,CUST001679,2024-01-01,SKU-BEA-4975,beauty,4,5919.45,1700.89,506.23,4724.79,NetBanking,delivered,Bangalore,Karnataka,6,delivered
M001,ORD000028,CUST003506,2024-01-01,SKU-LIF-5404,lifestyle,4,5086.19,257.61,869.14,5697.72,Debit Card,cancelled,Bangalore,Karnataka,9,cancelled
M001,ORD000029,CUST004639,2024-01-01,SKU-FAS-1349,fashion,4,4964.3,624.11,781.23,5121.42,COD,cancelled,Bangalore,Karnataka,7,cancelled
M001,ORD000030,CUST002536,2024-01-01,SKU-BEA-6076,beauty,3,7580.81,675.01,1243.04,8148.84,COD,delivered,Bangalore,Karnataka,9,delivered
M001,ORD000031,CUST004351,2024-01-01,SKU-BEA-9205,beauty,3,3754.6,318.02,171.83,3608.41,COD,delivered,Bangalore,Karnataka,6,delivered
M001,ORD000032,CUST000914,2024-01-01,SKU-BEA-1538,beauty,4,5341.59,1505.22,191.82,4028.19,Debit Card,delivered,Bangalore,Karnataka,10,delivered
M001,ORD000033,CUST002456,2024-01-01,SKU-HOM-5985,home,2,7191.17,2045.59,257.28,5402.86,Credit Card,delivered,Bangalore,Karnataka,9,delivered
M001,ORD000034,CUST003612,2024-01-01,SKU-FOO-1612,footwear,3,6975.45,1889.58,610.3,5696.17,COD,delivered,Bangalore,Karnataka,3,delivered
M001,ORD000035,CUST005547,2024-01-01,SKU-ACC-6917,accessories,2,8227.71,1096.04,356.58,7488.25,Credit Card,delivered,Bangalore,Karnataka,8,delivered
M001,ORD000036,CUST002106,2024-01-01,SKU-FAS-9132,fashion,3,3727.51,2.05,670.58,4396.04,UPI,returned,Bangalore,Karnataka,7,returned
M001,ORD000037,CUST006320,2024-01-01,SKU-FAS-9264,fashion,1,5891.66,1010.77,244.04,5124.93,Credit Card,delivered,Bangalore,Karnataka,6,delivered
M001,ORD000038,CUST004643,2024-01-01,SKU-HOM-7602,home,4,8442.14,583.44,1414.57,9273.27,Credit Card,cancelled,Bangalore,Karnataka,6,cancelled
M001,ORD000039,CUST006319,2024-01-01,SKU-LIF-9595,lifestyle,2,823.21,153.23,80.4,750.38,Wallet,delivered,Bangalore,Karnataka,9,delivered
M001,ORD000040,CUST005618,2024-01-01,SKU-HOM-6986,home,4,9134.56,2293.03,1231.48,8073.01,Credit Card,confirmed,Bangalore,Karnataka,10,delivered
M001,ORD000041,CUST004436,2024-01-01,SKU-ACC-8755,accessories,4,831.9,146.58,82.24,767.56,COD,delivered,Bangalore,Karnataka,9,delivered
M001,ORD000042,CUST003116,2024-01-01,SKU-FAS-3105,fashion,1,3209.27,716.62,124.63,2617.28,Credit Card,confirmed,Bangalore,Karnataka,8,delivered
M001,ORD000043,CUST000538,2024-01-01,SKU-HOM-8521,home,3,3846.88,248.73,647.67,4245.82,Debit Card,delivered,Bangalore,Karnataka,5,delivered
M001,ORD000044,CUST000281,2024-01-01,SKU-BEA-6494,beauty,2,879.47,212.03,33.37,700.81,Debit Card,delivered,Bangalore,Karnataka,8,delivered
M001,ORD000045,CUST002748,2024-01-02,SKU-HOM-1957,home,1,6305.8,993.48,637.48,5949.8,Debit Card,delivered,Bangalore,Karnataka,2,delivered
M001,ORD000046,CUST001991,2024-01-02,SKU-HOM-1477,home,4,8231.73,1875.65,317.8,6673.88,UPI,delivered,Bangalore,Karnataka,2,delivered
M001,ORD000047,CUST005169,2024-01-02,SKU-HOM-6267,home,3,9495.63,256.67,461.95,9700.91,Debit Card,delivered,Bangalore,Karnataka,1,delivered
M001,ORD000048,CUST005054,2024-01-02,SKU-FAS-6190,fashion,3,6467.71,1552.85,245.74,5160.6,UPI,confirmed,Bangalore,Karnataka,1,delivered
M001,ORD000049,CUST004147,2024-01-02,SKU-FOO-6479,footwear,2,5735.83,871.66,243.21,5107.38,Credit Card,confirmed,Bangalore,Karnataka,3,delayed
M001,ORD000050,CUST002744,2024-01-02,SKU-HOM-9454,home,3,7833.42,145.58,922.54,8610.38,COD,delivered,Bangalore,Karnataka,9,delivered
M001,ORD000051,CUST005214,2024-01-02,SKU-BEA-9140,beauty,2,751.44,110.37,32.05,673.12,UPI,delivered,Bangalore,Karnataka,4,delivered
M001,ORD000052,CUST003500,2024-01-02,SKU-FOO-9596,footwear,2,2252.98,357.64,94.77,1990.11,UPI,delivered,Bangalore,Karnataka,8,delayed
M001,ORD000053,CUST005845,2024-01-02,SKU-ACC-4330,accessories,2,1391.9,102.5,64.47,1353.87,UPI,processing,Bangalore,Karnataka,1,delivered
M001,ORD000054,CUST005793,2024-01-02,SKU-BEA-5837,beauty,4,1725.07,256.89,73.41,1541.59,Debit Card,delivered,Bangalore,Karnataka,4,delivered
M001,ORD000055,CUST001163,2024-01-02,SKU-FOO-4992,footwear,2,4682.56,1001.42,662.61,4343.75,COD,delivered,Bangalore,Karnataka,3,delivered
M001,ORD000056,CUST006458,2024-01-02,SKU-HOM-4370,home,2,1754.15,359.29,251.07,1645.93,Debit Card,confirmed,Bangalore,Karnataka,9,delayed
M001,ORD000057,CUST001930,2024-01-02,SKU-ACC-8138,accessories,3,8892.31,1596.38,1313.27,8609.2,Debit Card,delivered,Bangalore,Karnataka,7,delivered
M001,ORD000058,CUST003626,2024-01-02,SKU-BEA-2815,beauty,2,7583.81,2243.67,961.23,6301.37,UPI,delivered,Bangalore,Karnataka,6,delivered
