merchant_id,payment_id,order_id,payment_date,payment_method,payment_status,amount,refund_amount,settlement_date,gateway_name
M001,PAY000001,ORD008931,2024-11-28,COD,paid,1900.7,0.0,2024-12-01,PhonePe
M001,PAY000002,ORD009886,2024-12-27,COD,paid,3653.05,0.0,2024-12-31,Stripe
M001,PAY000003,ORD005652,2024-08-13,UPI,refunded,6552.17,2071.06,2024-08-14,PhonePe
M001,PAY000004,ORD004308,2024-06-12,UPI,failed,0.0,0.0,2024-06-12,Juspay
M001,PAY000005,ORD007747,2024-10-26,COD,refunded,10082.66,8347.85,2024-10-28,Razorpay
M001,PAY000006,ORD002323,2024-03-28,Debit Card,paid,1975.62,0.0,2024-03-31,Stripe
M001,PAY000007,ORD002507,2024-04-05,Credit Card,paid,9111.54,0.0,2024-04-07,Juspay
M001,PAY000008,ORD002134,2024-03-20,Credit Card,paid,7450.87,0.0,2024-03-22,Stripe
M001,PAY000009,ORD004005,2024-05-28,Credit Card,paid,3206.86,0.0,2024-05-30,Cashfree
M001,PAY000010,ORD003269,2024-05-02,UPI,refunded,5290.48,2725.13,2024-05-05,Razorpay
M001,PAY000011,ORD006125,2024-09-01,Debit Card,paid,6138.85,0.0,2024-09-06,Juspay
M001,PAY000012,ORD009542,2024-12-16,COD,paid,6552.18,0.0,2024-12-17,Cashfree
M001,PAY000013,ORD004453,2024-06-19,Credit Card,paid,2119.97,0.0,2024-06-24,Razorpay
M001,PAY000014,ORD003430,2024-05-07,Credit Card,paid,3962.36,0.0,2024-05-11,PhonePe
M001,PAY000015,ORD009493,2024-12-15,Credit Card,pending,7789.17,0.0,2024-12-16,Juspay
M001,PAY000016,ORD003806,2024-05-21,UPI,paid,7789.25,0.0,2024-05-24,PayU
M001,PAY000017,ORD007901,2024-11-01,Credit Card,paid,4877.31,0.0,2024-11-05,Juspay
M001,PAY000018,ORD007144,2024-10-09,Credit Card,paid,5385.19,0.0,2024-10-11,Stripe
M001,PAY000019,ORD003821,2024-05-21,COD,paid,4734.3,0.0,2024-05-23,Razorpay
M001,PAY000020,ORD005975,2024-08-26,COD,paid,6308.74,0.0,2024-08-30,Stripe
M001,PAY000021,ORD005748,2024-08-17,COD,paid,10373.05,0.0,2024-08-19,Cashfree
M001,PAY000022,ORD002860,2024-04-16,UPI,paid,6959.58,0.0,2024-04-18,Juspay
M001,PAY000023,ORD003596,2024-05-13,Credit Card,failed,0.0,0.0,2024-05-13,PhonePe
M001,PAY000024,ORD001926,2024-03-12,Debit Card,paid,3055.03,0.0,2024-03-17,Razorpay
M001,PAY000025,ORD000013,2024-01-02,Credit Card,paid,4476.49,0.0,2024-01-05,Stripe
M001,PAY000026,ORD002116,2024-03-19,COD,paid,4767.58,0.0,2024-03-21,PayU
M001,PAY000027,ORD003229,2024-04-30,COD,paid,3009.9,0.0,2024-05-02,Cashfree
M001,PAY000028,ORD004357,2024-06-14,UPI,paid,5175.41,0.0,2024-06-18,Razorpay
M001,PAY000029,ORD001746,2024-03-05,COD,paid,5576.84,0.0,2024-03-08,Juspay
M001,PAY000030,ORD008113,2024-11-06,Debit Card,paid,8296.68,0.0,2024-11-11,Stripe
M001,PAY000031,ORD007386,2024-10-16,COD,paid,1855.45,0.0,2024-10-18,Juspay
M001,PAY000032,ORD005397,2024-08-03,Credit Card,paid,5949.4,0.0,2024-08-07,PayU
M001,PAY000033,ORD008520,2024-11-17,COD,pending,10998.06,0.0,2024-11-18,PayU
M001,PAY000034,ORD003458,2024-05-08,COD,paid,1306.09,0.0,2024-05-13,Cashfree
M001,PAY000035,ORD004294,2024-06-12,COD,paid,4384.46,0.0,2024-06-17,Razorpay
M001,PAY000036,ORD009965,2024-12-31,Wallet,paid,3315.71,0.0,2025-01-05,Juspay
M001,PAY000037,ORD005557,2024-08-09,Wallet,pending,2594.39,0.0,2024-08-10,Razorpay
M001,PAY000038,ORD006216,2024-09-05,COD,paid,1335.62,0.0,2024-09-08,PayU
M001,PAY000039,ORD004893,2024-07-10,Credit Card,paid,2776.52,0.0,2024-07-12,Razorpay
M001,PAY000040,ORD009621,2024-12-18,NetBanking,paid,1000.96,0.0,2024-12-23,PhonePe
M001,PAY000041,ORD006020,2024-08-28,COD,refunded,5946.36,709.09,2024-09-01,Stripe
M001,PAY000042,ORD001940,2024-03-13,COD,pending,9028.42,0.0,2024-03-14,Cashfree
M001,PAY000043,ORD005388,2024-08-03,NetBanking,paid,844.56,0.0,2024-08-06,PhonePe
M001,PAY000044,ORD005415,2024-08-03,COD,paid,11063.12,0.0,2024-08-05,Juspay
M001,PAY000045,ORD009246,2024-12-07,COD,paid,7442.83,0.0,2024-12-10,Stripe
M001,PAY000046,ORD009656,2024-12-20,UPI,paid,1147.84,0.0,2024-12-22,PayU
M001,PAY000047,ORD000940,2024-01-30,COD,paid,845.49,0.0,2024-01-31,Cashfree
M001,PAY000048,ORD001623,2024-02-28,Credit Card,paid,5273.27,0.0,2024-03-02,Cashfree
M001,PAY000049,ORD008412,2024-11-15,Debit Card,paid,5176.83,0.0,2024-11-20,PhonePe
M001,PAY000050,ORD001050,2024-02-02,Debit Card,refunded,4635.44,1783.01,2024-02-06,Razorpay
M001,PAY000051,ORD007003,2024-10-04,COD,paid,781.92,0.0,2024-10-06,PhonePe
M001,PAY000052,ORD003162,2024-04-28,NetBanking,paid,3273.12,0.0,2024-05-03,Cashfree
M001,PAY000053,ORD000701,2024-01-22,Wallet,paid,7437.02,0.0,2024-01-25,PayU
M001,PAY000054,ORD002566,2024-04-06,Debit Card,paid,4682.57,0.0,2024-04-11,PhonePe
M001,PAY000055,ORD003488,2024-05-09,UPI,paid,4413.24,0.0,2024-05-11,Razorpay
M001,PAY000056,ORD001285,2024-02-13,Credit Card,paid,8233.26,0.0,2024-02-17,Razorpay
M001,PAY000057,ORD003386,2024-05-06,COD,paid,6889.31,0.0,2024-05-09,PayU
M001,PAY000058,ORD004534,2024-06-21,UPI,paid,5101.61,0.0,2024-06-22,PayU
M001,PAY000059,ORD000786,2024-01-25,Wallet,refunded,3455.8,2711.97,2024-01-30,Razorpay
M001,PAY000060,ORD006946,2024-10-03,COD,paid,8514.05,0.0,2024-10-07,PhonePe
M001,PAY000061,ORD004044,2024-05-30,COD,paid,3511.58,0.0,2024-05-31,Razorpay
M001,PAY000062,ORD009615,2024-12-18,COD,paid,1647.44,0.0,2024-12-22,Cashfree
M001,PAY000063,ORD006147,2024-09-02,UPI,paid,3267.42,0.0,2024-09-06,PayU
M001,PAY000064,ORD006940,2024-10-03,COD,paid,9798.49,0.0,2024-10-08,PayU
M001,PAY000065,ORD007975,2024-11-02,UPI,paid,9113.04,0.0,2024-11-05,Cashfree
M001,PAY000066,ORD002574,2024-04-07,Debit Card,paid,4318.09,0.0,2024-04-08,Stripe
M001,PAY000067,ORD007181,2024-10-10,UPI,paid,1537.38,0.0,2024-10-13,Juspay
M001,PAY000068,ORD002725,2024-04-12,Credit Card,paid,8931.22,0.0,2024-04-13,PhonePe
M001,PAY000069,ORD000455,2024-01-15,Debit Card,paid,6625.07,0.0,2024-01-17,Stripe
M001,PAY000070,ORD000219,2024-01-07,UPI,paid,7379.82,0.0,2024-01-10,PhonePe
M001,PAY000071,ORD003691,2024-05-18,UPI,paid,6042.38,0.0,2024-05-21,Stripe
M001,PAY000072,ORD004901,2024-07-10,Credit Card,paid,1200.57,0.0,2024-07-12,Juspay
M001,PAY000073,ORD000130,2024-01-04,COD,paid,5702.17,0.0,2024-01-07,Razorpay
