merchant_id,refund_id,order_id,refund_amount,refund_reason,deduction_reason,dispute_status,created_at,resolved_at,customer_complaint_score
M001,REF000001,ORD008830,2817.03,delayed_delivery,payment_gateway_adjustment,resolved,2024-12-11,2025-01-23,5
M001,REF000002,ORD008554,5339.78,damaged_product,invoice_difference,escalated,2024-11-20,2025-01-15,3
M001,REF000003,ORD007215,2573.98,damaged_product,invoice_difference,escalated,2024-10-29,2025-01-09,1
M001,REF000004,ORD004138,2434.88,fake_delivery_attempt,payment_gateway_adjustment,resolved,2024-06-28,2024-07-19,6
M001,REF000005,ORD009835,2746.41,size_issue,invoice_difference,resolved,2025-01-14,2025-01-29,6
M001,REF000006,ORD006846,5794.28,damaged_product,packaging_damage,escalated,2024-10-30,2025-01-05,2
M001,REF000007,ORD001272,1655.76,wrong_item,customer_refund,open,2024-02-16,2024-04-08,3
M001,REF000008,ORD007997,4516.35,size_issue,return_shipping_cost,resolved,2024-11-16,2024-12-15,4
M001,REF000009,ORD009662,3129.5,cancellation,payment_gateway_adjustment,resolved,2025-01-11,2025-02-06,2
M001,REF000010,ORD001045,514.54,fake_delivery_attempt,packaging_damage,resolved,2024-02-25,2024-03-21,7
M001,REF000011,ORD008730,2354.74,customer_not_available,payment_gateway_adjustment,open,2024-12-13,2025-02-28,4
M001,REF000012,ORD006448,2183.41,payment_issue,payment_gateway_adjustment,escalated,2024-09-25,2024-11-27,9
M001,REF000013,ORD002245,3941.51,payment_issue,customer_refund,resolved,2024-03-30,2024-04-29,2
M001,REF000014,ORD001919,149.58,size_issue,payment_gateway_adjustment,open,2024-04-01,2024-05-04,5
M001,REF000015,ORD003971,2577.39,fake_delivery_attempt,return_shipping_cost,resolved,2024-06-24,2024-07-11,1
M001,REF000016,ORD004987,5313.24,customer_not_available,packaging_damage,resolved,2024-07-20,2024-07-23,1
M001,REF000017,ORD007379,2571.92,customer_not_available,customer_refund,open,2024-10-27,2024-12-07,9
M001,REF000018,ORD009992,3263.53,customer_not_available,customer_refund,escalated,2025-01-01,2025-02-28,6
M001,REF000019,ORD002111,6071.46,size_issue,payment_gateway_adjustment,resolved,2024-04-13,2024-05-07,10
M001,REF000020,ORD009481,287.99,delayed_delivery,dispute_adjustment,resolved,2024-12-19,2025-01-11,2
M001,REF000021,ORD002079,2612.13,damaged_product,packaging_damage,resolved,2024-03-27,2024-04-14,10
M001,REF000022,ORD008881,7042.15,delayed_delivery,payment_gateway_adjustment,rejected,2024-12-01,2024-12-23,10
M001,REF000023,ORD008892,2539.85,customer_not_available,customer_refund,resolved,2024-12-22,2025-01-03,9
M001,REF000024,ORD006003,518.58,cancellation,customer_refund,resolved,2024-09-09,2024-10-12,10
M001,REF000025,ORD002987,5208.93,customer_not_available,packaging_damage,escalated,2024-04-23,2024-07-15,3
M001,REF000026,ORD002072,840.43,fake_delivery_attempt,packaging_damage,resolved,2024-04-03,2024-05-05,5
M001,REF000027,ORD001326,2179.25,wrong_item,invoice_difference,resolved,2024-02-28,2024-03-26,3
M001,REF000028,ORD001460,5029.42,cancellation,return_shipping_cost,resolved,2024-02-23,2024-03-13,5
M001,REF000029,ORD006209,2277.2,damaged_product,logistics_penalty,escalated,2024-09-17,2024-11-25,7
M001,REF000030,ORD002980,6527.79,size_issue,packaging_damage,open,2024-05-12,2024-07-20,8
M001,REF000031,ORD007946,899.33,wrong_item,return_shipping_cost,resolved,2024-11-15,2024-12-03,3
M001,REF000032,ORD001700,2413.02,wrong_item,logistics_penalty,resolved,2024-03-23,2024-04-27,3
M001,REF000033,ORD003448,520.1,size_issue,packaging_damage,open,2024-05-11,2024-07-09,5
M001,REF000034,ORD004724,1317.05,size_issue,dispute_adjustment,rejected,2024-07-01,2024-07-27,3
M001,REF000035,ORD002743,5888.71,wrong_item,payment_gateway_adjustment,resolved,2024-04-27,2024-05-16,9
M001,REF000036,ORD000704,5069.54,size_issue,invoice_difference,resolved,2024-02-10,2024-02-26,8
M001,REF000037,ORD008959,2208.22,payment_issue,logistics_penalty,rejected,2024-12-17,2025-01-09,10
M001,REF000038,ORD009358,1001.31,cancellation,logistics_penalty,open,2024-12-14,2025-02-17,2
M001,REF000039,ORD008773,4766.9,cancellation,return_shipping_cost,resolved,2024-12-12,2025-01-21,4
M001,REF000040,ORD008488,4091.51,fake_delivery_attempt,return_shipping_cost,escalated,2024-12-03,2025-02-14,9
M001,REF000041,ORD003909,7296.59,damaged_product,return_shipping_cost,resolved,2024-06-09,2024-07-24,6
M001,REF000042,ORD007881,2353.54,size_issue,logistics_penalty,resolved,2024-11-08,2024-12-04,1
M001,REF000043,ORD002964,2794.86,cancellation,logistics_penalty,resolved,2024-04-25,2024-05-08,3
M001,REF000044,ORD007272,1931.59,payment_issue,packaging_damage,open,2024-10-17,2024-12-09,2
M001,REF000045,ORD000598,1554.39,size_issue,return_shipping_cost,escalated,2024-02-07,2024-04-26,3
M001,REF000046,ORD002111,1625.51,fake_delivery_attempt,packaging_damage,resolved,2024-03-26,2024-04-02,8
M001,REF000047,ORD004930,1470.06,wrong_item,logistics_penalty,resolved,2024-07-28,2024-08-19,5
M001,REF000048,ORD007796,850.85,fake_delivery_attempt,logistics_penalty,resolved,2024-11-23,2025-01-07,9
M001,REF000049,ORD007252,8399.47,fake_delivery_attempt,invoice_difference,resolved,2024-10-25,2024-10-29,5
M001,REF000050,ORD005501,4811.49,customer_not_available,invoice_difference,rejected,2024-08-19,2024-08-26,1
M001,REF000051,ORD008801,1910.78,payment_issue,return_shipping_cost,escalated,2024-12-10,2025-03-09,9
M001,REF000052,ORD009120,892.86,delayed_delivery,customer_refund,open,2024-12-28,2025-03-11,9
M001,REF000053,ORD003841,4636.02,customer_not_available,customer_refund,rejected,2024-06-02,2024-06-29,9
M001,REF000054,ORD002960,1857.55,cancellation,payment_gateway_adjustment,open,2024-05-10,2024-08-08,4
M001,REF000055,ORD002252,4647.17,delayed_delivery,packaging_damage,resolved,2024-04-23,2024-05-12,7
M001,REF000056,ORD002670,3392.23,wrong_item,invoice_difference,open,2024-04-24,2024-07-06,2
M001,REF000057,ORD000653,2571.39,delayed_delivery,return_shipping_cost,resolved,2024-02-07,2024-03-07,6
M001,REF000058,ORD009073,1442.09,damaged_product,return_shipping_cost,resolved,2024-12-14,2025-01-08,4
M001,REF000059,ORD007231,3499.66,damaged_product,packaging_damage,resolved,2024-10-23,2024-12-07,6
M001,REF000060,ORD006370,797.2,delayed_delivery,payment_gateway_adjustment,escalated,2024-10-04,2024-12-25,1
M001,REF000061,ORD000990,7594.33,customer_not_available,customer_refund,resolved,2024-02-02,2024-02-09,9
M001,REF000062,ORD007198,464.21,cancellation,invoice_difference,resolved,2024-10-20,2024-11-28,4
M001,REF000063,ORD004187,162.1,fake_delivery_attempt,payment_gateway_adjustment,escalated,2024-06-11,2024-08-04,6
M001,REF000064,ORD007113,1125.85,wrong_item,return_shipping_cost,escalated,2024-10-23,2024-12-14,7
M001,REF000065,ORD008239,311.16,damaged_product,return_shipping_cost,escalated,2024-11-18,2025-01-10,10
M001,REF000066,ORD002123,2615.97,fake_delivery_attempt,dispute_adjustment,open,2024-04-14,2024-05-24,10
M001,REF000067,ORD005285,2218.13,customer_not_available,packaging_damage,resolved,2024-08-22,2024-09-01,2
M001,REF000068,ORD001283,440.28,size_issue,invoice_difference,open,2024-02-16,2024-04-09,7
M001,REF000069,ORD005944,664.33,cancellation,logistics_penalty,escalated,2024-09-14,2024-12-12,4
M001,REF000070,ORD006225,5704.54,delayed_delivery,logistics_penalty,escalated,2024-09-28,2024-12-25,2
M001,REF000071,ORD005125,2322.4,damaged_product,payment_gateway_adjustment,resolved,2024-08-11,2024-08-25,8
M001,REF000072,ORD000109,2324.18,cancellation,logistics_penalty,escalated,2024-01-18,2024-04-03,3
M001,REF000073,ORD008139,2441.42,payment_issue,customer_refund,escalated,2024-11-15,2024-12-15,10
M001,REF000074,ORD008514,1007.23,customer_not_available,payment_gateway_adjustment,resolved,2024-11-23,2025-01-06,6
M001,REF000075,ORD000321,3393.06,wrong_item,customer_refund,rejected,2024-01-27,2024-02-20,3
M001,REF000076,ORD007435,4861.03,damaged_product,customer_refund,open,2024-11-05,2025-01-04,10
M001,REF000077,ORD003820,1207.74,size_issue,dispute_adjustment,escalated,2024-06-12,2024-08-15,1
M001,REF000078,ORD000195,4205.46,payment_issue,packaging_damage,open,2024-01-21,2024-03-29,8
M001,REF000079,ORD001188,7140.0,cancellation,invoice_difference,resolved,2024-03-03,2024-03-12,3
M001,REF000080,ORD005031,1275.6,payment_issue,invoice_difference,resolved,2024-08-01,2024-08-25,8
M001,REF000081,ORD009818,5741.68,delayed_delivery,customer_refund,open,2024-12-29,2025-01-28,1
M001,REF000082,ORD000884,3083.14,size_issue,return_shipping_cost,rejected,2024-02-22,2024-03-20,3
M001,REF000083,ORD003443,5549.72,size_issue,dispute_adjustment,resolved,2024-05-21,2024-07-04,6
M001,REF000084,ORD002764,2028.42,delayed_delivery,dispute_adjustment,resolved,2024-04-27,2024-05-13,2
M001,REF000085,ORD009612,4890.67,size_issue,dispute_adjustment,resolved,2025-01-09,2025-01-20,9
M001,REF000086,ORD007037,986.17,payment_issue,payment_gateway_adjustment,resolved,2024-10-07,2024-11-12,4
M001,REF000087,ORD005992,734.25,payment_issue,return_shipping_cost,resolved,2024-09-07,2024-10-21,9
M001,REF000088,ORD002947,3481.64,size_issue,payment_gateway_adjustment,open,2024-05-13,2024-07-22,3
M001,REF000089,ORD005849,8665.35,delayed_delivery,packaging_damage,open,2024-09-07,2024-12-03,10
M001,REF000090,ORD009627,4212.83,delayed_delivery,invoice_difference,open,2025-01-17,2025-03-21,7
M001,REF000091,ORD006794,1834.49,size_issue,return_shipping_cost,resolved,2024-10-25,2024-11-28,6
