merchant_id,order_id,customer_id,product_id,sku,quantity,gross_revenue,discount_amount,refund_amount,net_revenue,customer_city,locality,pincode,region,customer_type,order_date,order_status,payment_method,source,source_row_id
M001,ORD000001,CUST001875,PROD000222,SKU000222,5,10465,936.83,0.0,9528.17,Bangalore,Jayanagar,560041,South,New,2024-02-16,delivered,UPI,sales_csv,SALES_ROW_000001
M001,ORD000002,CUST000888,PROD000029,SKU000029,5,6840,778.59,0.0,6061.41,Bangalore,MG Road,560001,South,Returning,2024-04-19,processing,UPI,sales_csv,SALES_ROW_000002
M001,ORD000003,CUST002745,PROD000078,SKU000078,2,5566,1098.25,0.0,4467.75,Bangalore,Electronic City,560100,South,Returning,2024-05-12,delivered,COD,sales_csv,SALES_ROW_000003
M001,ORD000004,CUST002574,PROD000202,SKU000202,4,12692,947.51,0.0,11744.49,Pune,Koregaon Park,411001,West,High-Value,2024-09-17,confirmed,COD,sales_csv,SALES_ROW_000004
M001,ORD000005,CUST000904,PROD000488,SKU000488,2,6678,1287.38,0.0,5390.62,Pune,Koregaon Park,411001,West,New,2024-08-28,confirmed,COD,sales_csv,SALES_ROW_000005
M001,ORD000006,CUST000633,PROD000005,SKU000005,5,20350,6283.2,0.0,14066.8,Bangalore,Whitefield,560066,South,New,2024-08-16,delivered,UPI,sales_csv,SALES_ROW_000006
M001,ORD000007,CUST002891,PROD000177,SKU000177,1,2303,3.18,0.0,2299.82,Bangalore,Jayanagar,560041,South,High-Value,2024-07-13,delivered,Credit Card,sales_csv,SALES_ROW_000007
M001,ORD000008,CUST002012,PROD000111,SKU000111,1,2081,290.42,0.0,1790.58,Bangalore,HSR Layout,560102,South,Returning,2024-11-06,delivered,COD,sales_csv,SALES_ROW_000008
M001,ORD000009,CUST002609,PROD000337,SKU000337,3,5304,955.28,0.0,4348.72,Jaipur,C Scheme,302001,North,High-Value,2024-12-01,cancelled,COD,sales_csv,SALES_ROW_000009
M001,ORD000010,CUST000114,PROD000413,SKU000413,4,12460,1641.07,0.0,10818.93,Hyderabad,Jubilee Hills,500033,South,New,2024-01-26,delivered,Debit Card,sales_csv,SALES_ROW_000010
M001,ORD000011,CUST000129,PROD000404,SKU000404,1,2451,357.64,0.0,2093.36,Kolkata,Salt Lake,700064,East,Returning,2024-10-29,delivered,NetBanking,sales_csv,SALES_ROW_000011
M001,ORD000012,CUST001588,PROD000045,SKU000045,4,9472,451.55,0.0,9020.45,Bangalore,Indiranagar,560038,South,Returning,2024-11-22,cancelled,UPI,sales_csv,SALES_ROW_000012
M001,ORD000013,CUST001466,PROD000365,SKU000365,1,2134,315.43,0.0,1818.57,Bangalore,JP Nagar,560078,South,Returning,2024-06-03,delivered,UPI,sales_csv,SALES_ROW_000013
M001,ORD000014,CUST000500,PROD000151,SKU000151,3,6261,83.98,0.0,6177.02,Delhi,Rohini,110085,North,New,2024-09-12,delivered,UPI,sales_csv,SALES_ROW_000014
M001,ORD000015,CUST000446,PROD000312,SKU000312,2,1960,163.96,0.0,1796.04,Bangalore,MG Road,560001,South,New,2024-08-28,delivered,Credit Card,sales_csv,SALES_ROW_000015
M001,ORD000016,CUST000660,PROD000368,SKU000368,5,11260,2020.16,0.0,9239.84,Mumbai,Powai,400076,West,New,2024-10-26,processing,COD,sales_csv,SALES_ROW_000016
M001,ORD000017,CUST002862,PROD000111,SKU000111,1,2081,120.48,0.0,1960.52,Chennai,Velachery,600042,South,New,2024-03-11,delivered,UPI,sales_csv,SALES_ROW_000017
M001,ORD000018,CUST001858,PROD000250,SKU000250,1,3416,923.09,0.0,2492.91,Bangalore,Marathahalli,560037,South,Returning,2024-12-30,delivered,Credit Card,sales_csv,SALES_ROW_000018
M001,ORD000019,CUST001293,PROD000304,SKU000304,1,1281,228.52,0.0,1052.48,Bangalore,Electronic City,560100,South,New,2024-10-22,delivered,Debit Card,sales_csv,SALES_ROW_000019
M001,ORD000020,CUST002675,PROD000474,SKU000474,4,10864,1633.59,0.0,9230.41,Bangalore,JP Nagar,560078,South,Returning,2024-12-07,delivered,UPI,sales_csv,SALES_ROW_000020
M001,ORD000021,CUST001577,PROD000131,SKU000131,1,1592,178.98,0.0,1413.02,Chennai,Adyar,600020,South,High-Value,2024-07-20,delivered,UPI,sales_csv,SALES_ROW_000021
M001,ORD000022,CUST002401,PROD000171,SKU000171,1,2739,268.98,0.0,2470.02,Bangalore,Electronic City,560100,South,High-Value,2024-04-04,delivered,UPI,sales_csv,SALES_ROW_000022
M001,ORD000023,CUST002168,PROD000288,SKU000288,4,5780,416.85,0.0,5363.15,Bangalore,Indiranagar,560038,South,High-Value,2024-03-14,confirmed,COD,sales_csv,SALES_ROW_000023
M001,ORD000024,CUST002814,PROD000188,SKU000188,5,13325,453.5,0.0,12871.5,Kochi,Vyttila,682019,South,New,2024-07-31,processing,UPI,sales_csv,SALES_ROW_000024
M001,ORD000025,CUST002809,PROD000034,SKU000034,2,5808,354.62,0.0,5453.38,Bangalore,HSR Layout,560102,South,New,2024-09-02,processing,UPI,sales_csv,SALES_ROW_000025
M001,ORD000026,CUST000665,PROD000047,SKU000047,2,3032,53.95,0.0,2978.05,Hyderabad,Gachibowli,500032,South,New,2024-01-29,delivered,NetBanking,sales_csv,SALES_ROW_000026
M001,ORD000027,CUST000082,PROD000058,SKU000058,3,7545,1008.89,0.0,6536.11,Bangalore,Electronic City,560100,South,New,2024-09-17,delivered,COD,sales_csv,SALES_ROW_000027
M001,ORD000028,CUST001310,PROD000359,SKU000359,5,14780,1160.81,0.0,13619.19,Bangalore,Marathahalli,560037,South,New,2024-03-19,delivered,COD,sales_csv,SALES_ROW_000028
M001,ORD000029,CUST001420,PROD000491,SKU000491,1,3296,617.97,1606.44,1071.59,Bangalore,Bellandur,560103,South,Returning,2024-06-11,returned,Wallet,sales_csv,SALES_ROW_000029
M001,ORD000030,CUST000365,PROD000171,SKU000171,4,10956,2002.47,0.0,8953.53,Hyderabad,Secunderabad,500003,South,Returning,2024-07-22,delivered,Wallet,sales_csv,SALES_ROW_000030
M001,ORD000031,CUST002917,PROD000184,SKU000184,4,4192,556.94,0.0,3635.06,Chennai,Velachery,600042,South,New,2024-10-02,delivered,Credit Card,sales_csv,SALES_ROW_000031
M001,ORD000032,CUST000189,PROD000310,SKU000310,1,1575,244.1,0.0,1330.9,Bangalore,JP Nagar,560078,South,Returning,2024-10-25,cancelled,UPI,sales_csv,SALES_ROW_000032
M001,ORD000033,CUST002469,PROD000243,SKU000243,5,11740,460.03,0.0,11279.97,Bangalore,Whitefield,560066,South,Returning,2024-03-27,processing,Credit Card,sales_csv,SALES_ROW_000033
M001,ORD000034,CUST001768,PROD000188,SKU000188,5,13325,1219.44,0.0,12105.56,Mumbai,Andheri,400053,West,Returning,2024-09-05,delivered,UPI,sales_csv,SALES_ROW_000034
M001,ORD000035,CUST000017,PROD000479,SKU000479,1,1306,158.47,0.0,1147.53,Bangalore,Bellandur,560103,South,New,2024-09-10,delivered,Debit Card,sales_csv,SALES_ROW_000035
M001,ORD000036,CUST002770,PROD000431,SKU000431,4,11012,1075.36,0.0,9936.64,Bangalore,Indiranagar,560038,South,Returning,2024-12-01,cancelled,COD,sales_csv,SALES_ROW_000036
M001,ORD000037,CUST002344,PROD000001,SKU000001,3,2697,429.64,0.0,2267.36,Hyderabad,Madhapur,500081,South,Returning,2024-12-27,delivered,COD,sales_csv,SALES_ROW_000037
M001,ORD000038,CUST001709,PROD000080,SKU000080,4,19240,3317.17,0.0,15922.83,Mumbai,Thane,400601,West,New,2024-11-01,delivered,COD,sales_csv,SALES_ROW_000038
M001,ORD000039,CUST000638,PROD000377,SKU000377,2,4718,1189.31,0.0,3528.69,Bangalore,Jayanagar,560041,South,New,2024-04-20,delivered,COD,sales_csv,SALES_ROW_000039
M001,ORD000040,CUST001284,PROD000307,SKU000307,1,2077,279.38,0.0,1797.62,Bangalore,HSR Layout,560102,South,New,2024-05-25,processing,COD,sales_csv,SALES_ROW_000040
M001,ORD000041,CUST001420,PROD000001,SKU000001,3,2697,323.77,0.0,2373.23,Bangalore,Koramangala,560034,South,Returning,2024-12-25,confirmed,COD,sales_csv,SALES_ROW_000041
M001,ORD000042,CUST002394,PROD000454,SKU000454,1,2671,74.64,0.0,2596.36,Bangalore,Yelahanka,560064,South,High-Value,2024-08-26,delivered,COD,sales_csv,SALES_ROW_000042
M001,ORD000043,CUST000050,PROD000052,SKU000052,2,3474,470.85,0.0,3003.15,Jaipur,C Scheme,302001,North,New,2024-03-30,delivered,COD,sales_csv,SALES_ROW_000043
M001,ORD000044,CUST002579,PROD000253,SKU000253,3,14838,1308.22,0.0,13529.78,Chennai,Anna Nagar,600040,South,Returning,2024-06-24,delivered,COD,sales_csv,SALES_ROW_000044
M001,ORD000045,CUST001270,PROD000057,SKU000057,2,4846,881.14,0.0,3964.86,Bangalore,HSR Layout,560102,South,High-Value,2024-02-19,delivered,COD,sales_csv,SALES_ROW_000045
M001,ORD000046,CUST002364,PROD000068,SKU000068,4,5916,837.47,0.0,5078.53,Bangalore,MG Road,560001,South,Returning,2024-04-01,processing,NetBanking,sales_csv,SALES_ROW_000046
M001,ORD000047,CUST000403,PROD000133,SKU000133,2,4962,1095.7,0.0,3866.3,Kochi,Fort Kochi,682001,South,Returning,2024-04-23,delivered,UPI,sales_csv,SALES_ROW_000047
M001,ORD000048,CUST002638,PROD000261,SKU000261,4,7740,825.73,0.0,6914.27,Bangalore,Whitefield,560066,South,New,2024-08-16,delivered,Debit Card,sales_csv,SALES_ROW_000048
M001,ORD000049,CUST002470,PROD000445,SKU000445,5,14550,1206.09,8289.37,5054.54,Chennai,Anna Nagar,600040,South,Returning,2024-10-30,returned,UPI,sales_csv,SALES_ROW_000049
M001,ORD000050,CUST001893,PROD000047,SKU000047,1,1516,239.46,0.0,1276.54,Bangalore,Whitefield,560066,South,New,2024-04-02,delivered,Wallet,sales_csv,SALES_ROW_000050
M001,ORD000051,CUST000138,PROD000364,SKU000364,3,4314,989.68,0.0,3324.32,Hyderabad,Jubilee Hills,500033,South,New,2024-11-30,delivered,Credit Card,sales_csv,SALES_ROW_000051
M001,ORD000052,CUST001029,PROD000203,SKU000203,2,5014,826.02,0.0,4187.98,Delhi,Rohini,110085,North,Returning,2024-05-08,confirmed,UPI,sales_csv,SALES_ROW_000052
M001,ORD000053,CUST000604,PROD000392,SKU000392,1,1694,405.65,0.0,1288.35,Jaipur,C Scheme,302001,North,New,2024-12-28,delivered,COD,sales_csv,SALES_ROW_000053
M001,ORD000054,CUST002941,PROD000166,SKU000166,5,3655,1172.3,0.0,2482.7,Bangalore,Electronic City,560100,South,New,2024-11-29,cancelled,Wallet,sales_csv,SALES_ROW_000054
M001,ORD000055,CUST000436,PROD000001,SKU000001,3,2697,404.88,0.0,2292.12,Mumbai,Andheri,400053,West,Returning,2024-04-06,delivered,COD,sales_csv,SALES_ROW_000055
M001,ORD000056,CUST002727,PROD000327,SKU000327,5,15120,2210.19,0.0,12909.81,Chennai,Anna Nagar,600040,South,Returning,2024-06-24,delivered,NetBanking,sales_csv,SALES_ROW_000056
M001,ORD000057,CUST001649,PROD000214,SKU000214,3,9780,3317.16,0.0,6462.84,Bangalore,HSR Layout,560102,South,Returning,2024-04-23,delivered,COD,sales_csv,SALES_ROW_000057
M001,ORD000058,CUST000903,PROD000149,SKU000149,4,18508,3167.35,0.0,15340.65,Chennai,Anna Nagar,600040,South,Returning,2024-06-30,delivered,Wallet,sales_csv,SALES_ROW_000058
M001,ORD000059,CUST001683,PROD000173,SKU000173,2,1478,212.94,1258.31,6.75,Bangalore,Bellandur,560103,South,Returning,2024-08-16,returned,COD,sales_csv,SALES_ROW_000059
M001,ORD000060,CUST002047,PROD000348,SKU000348,5,11100,801.27,0.0,10298.73,Bangalore,Koramangala,560034,South,High-Value,2024-12-26,delivered,UPI,sales_csv,SALES_ROW_000060
M001,ORD000061,CUST002624,PROD000473,SKU000473,2,1162,104.05,0.0,1057.95,Kolkata,New Town,700156,East,New,2024-12-27,delivered,COD,sales_csv,SALES_ROW_000061
M001,ORD000062,CUST001050,PROD000048,SKU000048,2,1638,242.13,0.0,1395.87,Bangalore,Yelahanka,560064,South,New,2024-04-17,confirmed,UPI,sales_csv,SALES_ROW_000062
M001,ORD000063,CUST002597,PROD000371,SKU000371,2,5144,1005.15,0.0,4138.85,Kolkata,Salt Lake,700064,East,High-Value,2024-12-29,delivered,COD,sales_csv,SALES_ROW_000063
M001,ORD000064,CUST000236,PROD000436,SKU000436,1,644,28.42,0.0,615.58,Bangalore,Indiranagar,560038,South,High-Value,2024-10-06,delivered,COD,sales_csv,SALES_ROW_000064
M001,ORD000065,CUST000067,PROD000105,SKU000105,3,3918,699.36,0.0,3218.64,Bangalore,MG Road,560001,South,Returning,2024-03-17,delivered,Credit Card,sales_csv,SALES_ROW_000065
M001,ORD000066,CUST001513,PROD000001,SKU000001,3,2697,509.3,0.0,2187.7,Bangalore,Marathahalli,560037,South,New,2024-12-10,delivered,UPI,sales_csv,SALES_ROW_000066
M001,ORD000067,CUST000105,PROD000224,SKU000224,5,5185,839.96,0.0,4345.04,Bangalore,Hebbal,560024,South,Returning,2024-12-07,delivered,COD,sales_csv,SALES_ROW_000067
M001,ORD000068,CUST000871,PROD000339,SKU000339,4,10352,948.05,0.0,9403.95,Bangalore,Marathahalli,560037,South,New,2024-09-12,delivered,COD,sales_csv,SALES_ROW_000068
M001,ORD000069,CUST001243,PROD000203,SKU000203,5,12535,556.51,0.0,11978.49,Kolkata,Salt Lake,700064,East,New,2024-06-07,cancelled,Debit Card,sales_csv,SALES_ROW_000069
M001,ORD000070,CUST002122,PROD000084,SKU000084,1,1456,154.15,0.0,1301.85,Ahmedabad,Bopal,380058,West,New,2024-07-01,delivered,COD,sales_csv,SALES_ROW_000070
M001,ORD000071,CUST002339,PROD000097,SKU000097,2,3400,143.29,0.0,3256.71,Bangalore,Whitefield,560066,South,Returning,2024-10-16,cancelled,COD,sales_csv,SALES_ROW_000071
M001,ORD000072,CUST001999,PROD000487,SKU000487,5,24880,4080.51,0.0,20799.49,Kolkata,Dum Dum,700028,East,New,2024-07-30,delivered,COD,sales_csv,SALES_ROW_000072
M001,ORD000073,CUST000725,PROD000347,SKU000347,3,1890,330.84,861.71,697.45,Bangalore,Marathahalli,560037,South,Returning,2024-05-09,returned,UPI,sales_csv,SALES_ROW_000073
M001,ORD000074,CUST002456,PROD000200,SKU000200,5,16000,2700.11,0.0,13299.89,Kochi,Fort Kochi,682001,South,New,2024-01-27,delivered,UPI,sales_csv,SALES_ROW_000074
M001,ORD000075,CUST001929,PROD000318,SKU000318,3,8286,1001.07,6388.56,896.37,Chennai,T Nagar,600017,South,Returning,2024-05-19,returned,Wallet,sales_csv,SALES_ROW_000075
M001,ORD000076,CUST002131,PROD000321,SKU000321,1,2744,125.98,0.0,2618.02,Bangalore,Bellandur,560103,South,High-Value,2024-08-01,delivered,COD,sales_csv,SALES_ROW_000076
M001,ORD000077,CUST002687,PROD000054,SKU000054,1,837,20.31,0.0,816.69,Bangalore,Yelahanka,560064,South,Returning,2024-10-05,delivered,COD,sales_csv,SALES_ROW_000077
M001,ORD000078,CUST000280,PROD000333,SKU000333,4,7504,1449.11,0.0,6054.89,Bangalore,Yelahanka,560064,South,New,2024-04-14,delivered,Debit Card,sales_csv,SALES_ROW_000078
M001,ORD000079,CUST002258,PROD000049,SKU000049,2,9046,1683.24,0.0,7362.76,Bangalore,Jayanagar,560041,South,High-Value,2024-03-21,delivered,UPI,sales_csv,SALES_ROW_000079
M001,ORD000080,CUST000739,PROD000001,SKU000001,3,2697,53.62,0.0,2643.38,Bangalore,JP Nagar,560078,South,Returning,2024-05-03,delivered,COD,sales_csv,SALES_ROW_000080
M001,ORD000081,CUST002610,PROD000114,SKU000114,1,2390,283.76,416.54,1689.7,Bangalore,JP Nagar,560078,South,High-Value,2024-05-29,delivered,COD,sales_csv,SALES_ROW_000081
M001,ORD000082,CUST001983,PROD000429,SKU000429,5,11430,633.8,0.0,10796.2,Bangalore,MG Road,560001,South,New,2024-11-30,processing,COD,sales_csv,SALES_ROW_000082
M001,ORD000083,CUST001312,PROD000297,SKU000297,1,571,79.84,0.0,491.16,Bangalore,Bellandur,560103,South,High-Value,2024-01-08,delivered,Credit Card,sales_csv,SALES_ROW_000083
M001,ORD000084,CUST000325,PROD000195,SKU000195,2,7072,2345.81,0.0,4726.19,Bangalore,HSR Layout,560102,South,New,2024-04-18,processing,UPI,sales_csv,SALES_ROW_000084
M001,ORD000085,CUST002091,PROD000249,SKU000249,3,9432,2505.47,0.0,6926.53,Bangalore,MG Road,560001,South,Returning,2024-01-27,delivered,Credit Card,sales_csv,SALES_ROW_000085
M001,ORD000086,CUST000240,PROD000356,SKU000356,2,1878,181.28,0.0,1696.72,Bangalore,Marathahalli,560037,South,High-Value,2024-01-06,delivered,COD,sales_csv,SALES_ROW_000086
M001,ORD000087,CUST000219,PROD000001,SKU000001,3,2697,555.32,0.0,2141.68,Pune,Viman Nagar,411014,West,High-Value,2024-12-30,processing,UPI,sales_csv,SALES_ROW_000087
M001,ORD000088,CUST002569,PROD000331,SKU000331,1,1349,221.41,0.0,1127.59,Hyderabad,Gachibowli,500032,South,Returning,2024-04-17,delivered,COD,sales_csv,SALES_ROW_000088
M001,ORD000089,CUST001087,PROD000282,SKU000282,3,1227,45.87,0.0,1181.13,Bangalore,Koramangala,560034,South,New,2024-12-15,delivered,COD,sales_csv,SALES_ROW_000089
M001,ORD000090,CUST000672,PROD000002,SKU000002,4,1596,180.03,0.0,1415.97,Pune,Kothrud,411038,West,New,2024-08-11,confirmed,COD,sales_csv,SALES_ROW_000090
M001,ORD000091,CUST002024,PROD000054,SKU000054,4,3348,298.6,0.0,3049.4,Jaipur,Tonk Road,302018,North,New,2024-02-12,delivered,Debit Card,sales_csv,SALES_ROW_000091
M001,ORD000092,CUST001686,PROD000490,SKU000490,3,3483,66.77,0.0,3416.23,Bangalore,Whitefield,560066,South,New,2024-04-01,delivered,UPI,sales_csv,SALES_ROW_000092
M001,ORD000093,CUST001771,PROD000402,SKU000402,5,3535,784.81,0.0,2750.19,Chennai,Adyar,600020,South,Returning,2024-04-15,delivered,Credit Card,sales_csv,SALES_ROW_000093
M001,ORD000094,CUST002625,PROD000147,SKU000147,3,12030,1905.41,0.0,10124.59,Mumbai,Dadar,400014,West,New,2024-01-07,delivered,UPI,sales_csv,SALES_ROW_000094
M001,ORD000095,CUST000113,PROD000410,SKU000410,3,3942,395.62,0.0,3546.38,Jaipur,Malviya Nagar,302017,North,New,2024-09-27,delivered,COD,sales_csv,SALES_ROW_000095
M001,ORD000096,CUST000954,PROD000261,SKU000261,5,9675,952.29,0.0,8722.71,Mumbai,Powai,400076,West,Returning,2024-08-19,confirmed,UPI,sales_csv,SALES_ROW_000096
M001,ORD000097,CUST001609,PROD000153,SKU000153,5,21445,996.3,0.0,20448.7,Bangalore,Whitefield,560066,South,High-Value,2024-06-22,delivered,Wallet,sales_csv,SALES_ROW_000097
M001,ORD000098,CUST001810,PROD000331,SKU000331,2,2698,501.75,0.0,2196.25,Bangalore,Bellandur,560103,South,New,2024-08-14,delivered,COD,sales_csv,SALES_ROW_000098
M001,ORD000099,CUST002242,PROD000069,SKU000069,2,5258,362.61,0.0,4895.39,Kochi,Ernakulam,682011,South,Returning,2024-01-26,delivered,COD,sales_csv,SALES_ROW_000099
M001,ORD000100,CUST000299,PROD000308,SKU000308,3,10617,662.9,0.0,9954.1,Kolkata,Dum Dum,700028,East,New,2024-01-26,delivered,COD,sales_csv,SALES_ROW_000100
M001,ORD000101,CUST000319,PROD000238,SKU000238,5,24305,3779.26,0.0,20525.74,Bangalore,Hebbal,560024,South,Returning,2024-11-01,processing,UPI,sales_csv,SALES_ROW_000101
