inventory_id,merchant_id,warehouse_id,sku,available_qty,reserved_qty
INV000001,M001,WH_EAST,WATCH_CLASSIC_BLACK,313,26
INV000002,M001,WH_SOUTH,WALLET_BROWN,307,55
INV000003,M001,WH_CENTRAL,SHOES_WHITE_9,15,9
INV000004,M001,WH_SOUTHWEST,KURTA_COTTON_M,120,14
INV000005,M001,WH_WEST,TSHIRT_BLACK_M,123,73
INV000006,M001,WH_NORTH,BACKPACK_GREY,176,63
INV000007,M001,WH_EAST,WOMEN_TOP_PINK_M,238,80
INV000008,M001,WH_SOUTH,WOMEN_TOP_PINK_M,139,46
INV000009,M001,WH_CENTRAL,BELT_BLACK,0,0
INV000010,M001,WH_CENTRAL,CAP_NAVY,232,10
INV000011,M001,WH_CENTRAL,BELT_BLACK,260,18
INV000012,M001,WH_SOUTH,JEANS_BLUE_34,194,3
INV000013,M001,WH_SOUTH,JEANS_BLUE_30,166,31
INV000014,M001,WH_NORTH,WOMEN_TOP_PINK_S,122,76
INV000015,M001,WH_SOUTHWEST,BACKPACK_GREY,28,4
INV000016,M001,WH_CENTRAL,WALLET_BROWN,236,62
INV000017,M001,WH_NORTH,TSHIRT_WHITE_M,78,7
INV000018,M001,WH_SOUTHWEST,BAG_LEATHER_BROWN,41,11
INV000019,M001,WH_SOUTHWEST,TSHIRT_NAVY_M,15,8
INV000020,M001,WH_SOUTHWEST,WATCH_CLASSIC_BLACK,43,43
INV000021,M001,WH_WEST,WATCH_CLASSIC_BLACK,86,55
INV000022,M001,WH_SOUTH,SHOES_BLACK_9,47,39
INV000023,M001,WH_WEST,SNEAKERS_GREY_8,49,16
INV000024,M001,WH_CENTRAL,FORMAL_TROUSER_BLACK_32,293,78
INV000025,M001,WH_EAST,FORMAL_SHIRT_BLUE_L,142,20
INV000026,M001,WH_CENTRAL,TRACKPANTS_BLACK_L,85,75
INV000027,M001,WH_NORTH,WATCH_SPORT_SILVER,233,1
INV000028,M001,WH_SOUTH,KURTA_COTTON_M,181,33
INV000029,M001,WH_CENTRAL,JEANS_BLUE_32,6,6
INV000030,M001,WH_SOUTHWEST,JEANS_BLUE_34,96,62
INV000031,M001,WH_WEST,HOODIE_GREY_M,90,0
INV000032,M001,WH_WEST,SHOES_WHITE_8,190,72
INV000033,M001,WH_WEST,SHOES_WHITE_8,136,3
INV000034,M001,WH_EAST,TSHIRT_BLACK_L,376,31
