shipment_id,merchant_id,order_id,courier,shipment_status,delivery_attempts,rto_status,shipping_cost,delivery_days,pincode,area,city
SHP000001,M001,ORD001084,BlueDart,delivered,1,no,141.85,4,560008,Ulsoor,Bangalore
SHP000002,M001,ORD001249,Ecom Express,delivered,1,no,58.75,2,560037,Marathahalli,Bangalore
SHP000003,M001,ORD000907,Shiprocket,in_transit,1,no,58.55,4,560037,Brookefield,Bangalore
SHP000004,M001,ORD004502,Xpressbees,delivered,1,no,92.98,1,560017,Old Airport Road,Bangalore
SHP000005,M001,ORD003076,Shiprocket,delivered,1,no,49.82,3,560103,Bellandur,Bangalore
SHP000006,M001,ORD002472,BlueDart,delivered,1,no,113.28,3,560103,Bellandur,Bangalore
SHP000007,M001,ORD000744,Xpressbees,delivered,1,no,70.95,1,560066,Whitefield,Bangalore
SHP000008,M001,ORD000081,Shiprocket,delivered,1,no,102.82,3,560038,Indiranagar,Bangalore
SHP000009,M001,ORD003807,BlueDart,delivered,1,no,79.03,4,560037,Brookefield,Bangalore
SHP000010,M001,ORD003047,BlueDart,delivered,2,no,47.53,3,560066,Whitefield,Bangalore
SHP000011,M001,ORD000220,Ecom Express,delivered,1,no,59.39,5,560008,Ulsoor,Bangalore
SHP000012,M001,ORD000341,Shiprocket,delivered,1,no,80.37,1,560103,Bellandur,Bangalore
SHP000013,M001,ORD000034,Xpressbees,delivered,1,no,63.75,3,560003,Malleshwaram,Bangalore
SHP000014,M001,ORD000315,Shiprocket,in_transit,1,no,70.99,4,560034,Koramangala,Bangalore
SHP000015,M001,ORD004974,Delhivery,delivered,1,no,63.53,2,560008,Ulsoor,Bangalore
SHP000016,M001,ORD000847,BlueDart,delivered,1,no,86.07,2,560034,Koramangala,Bangalore
SHP000017,M001,ORD004072,Shiprocket,delivered,1,no,72.9,3,560037,Marathahalli,Bangalore
SHP000018,M001,ORD000588,Delhivery,rto,2,yes,54.8,5,560041,Jayanagar,Bangalore
SHP000019,M001,ORD001898,BlueDart,delivered,1,no,124.44,1,560098,RR Nagar,Bangalore
SHP000020,M001,ORD004116,BlueDart,in_transit,1,no,80.39,4,560103,Bellandur,Bangalore
SHP000021,M001,ORD003084,Xpressbees,delivered,1,no,125.63,2,560076,Bannerghatta Road,Bangalore
SHP000022,M001,ORD001041,Xpressbees,rto,3,yes,54.24,8,560008,Ulsoor,Bangalore
